Date,Open,High,Low,Close,Volume
2026-01-01,100,105,98,103,120000
2026-01-02,103,106,100,101,135000
2026-01-03,101,110,100,108,150000
2026-01-04,108,112,106,112,170000
2026-01-05,112,114,108,109,160000
2026-01-06,109,117,108,115,180000
2026-01-07,115,120,113,118,200000
2026-01-08,118,119,114,116,175000
2026-01-09,116,123,115,121,210000
2026-01-10,121,127,119,125,230000
2026-01-11,125,126,120,123,190000
2026-01-12,123,130,122,128,250000
2026-01-13,128,132,126,130,270000
2026-01-14,130,131,124,127,220000
2026-01-15,127,135,126,133,290000
2026-01-16,133,138,131,136,310000
2026-01-17,136,137,129,132,280000
2026-01-18,132,140,131,138,330000
2026-01-19,138,143,135,141,350000
2026-01-20,141,145,138,140,300000
