Date,Symbol,Open,High,Low,Close,Volume
2026-01-01,AAPL,100,105,98,103,120000
2026-01-02,AAPL,103,106,100,101,135000
2026-01-03,AAPL,101,110,100,108,150000
2026-01-04,AAPL,108,112,106,112,170000
2026-01-05,AAPL,112,114,108,109,160000
2026-01-06,AAPL,109,117,108,115,180000
2026-01-07,AAPL,115,120,113,118,200000
2026-01-08,AAPL,118,119,114,116,175000
2026-01-09,AAPL,116,123,115,121,210000
2026-01-10,AAPL,121,127,119,125,230000
2026-01-01,MSFT,200,205,198,203,140000
2026-01-02,MSFT,203,207,200,206,155000
2026-01-03,MSFT,206,210,202,204,165000
2026-01-04,MSFT,204,212,203,210,175000
2026-01-05,MSFT,210,215,207,213,185000
2026-01-06,MSFT,213,218,210,217,195000
2026-01-07,MSFT,217,220,214,215,180000
2026-01-08,MSFT,215,222,213,220,205000
2026-01-09,MSFT,220,225,218,223,220000
2026-01-10,MSFT,223,228,220,226,235000
2026-01-01,NVDA,300,310,295,305,300000
2026-01-02,NVDA,305,315,300,312,320000
2026-01-03,NVDA,312,320,306,308,310000
2026-01-04,NVDA,308,325,305,320,350000
2026-01-05,NVDA,320,330,315,327,370000
2026-01-06,NVDA,327,335,320,322,360000
2026-01-07,NVDA,322,340,318,335,390000
2026-01-08,NVDA,335,345,330,342,410000
2026-01-09,NVDA,342,350,335,338,380000
2026-01-10,NVDA,338,360,335,355,450000
